"mjage","cigage","iralcage","age2","sexatract","speakengl","irsex"
14,50,14,16,1,1,1
11,14,5,13,2,1,2
12,35,12,15,2,1,2
16,18,18,14,1,1,1
14,16,14,16,4,1,1
12,16,18,15,4,1,2
13,15,13,13,1,1,1
20,17,21,14,1,1,1
33,23,16,14,1,1,2
18,25,19,17,1,1,2
13,23,13,16,1,1,1
16,18,16,14,1,1,1
21,45,19,17,1,1,1
12,13,12,15,1,1,2
14,14,17,15,1,1,2
18,16,16,15,1,1,2
18,19,18,15,1,1,1
16,17,12,14,1,1,2
18,19,15,12,1,1,1
20,19,10,15,1,1,1
15,18,15,16,5,1,1
16,17,16,8,1,1,2
15,14,18,16,1,1,1
12,15,14,11,5,1,2
16,16,14,15,2,1,2
19,18,17,15,1,1,2
10,25,14,14,1,1,1
16,18,18,15,1,2,1
17,19,23,15,1,1,2
9,13,11,4,99,1,1
16,15,11,15,1,1,1
16,18,19,13,1,1,1
15,15,12,15,1,1,1
18,18,16,15,2,1,2
13,15,10,6,99,1,1
20,15,18,15,1,3,2
18,19,18,15,1,1,2
16,19,15,14,1,1,2
18,15,18,15,1,1,2
15,22,20,17,2,1,1
14,14,13,9,1,1,2
15,17,12,10,1,1,1
16,18,20,11,1,1,1
17,17,17,13,1,1,1
16,18,15,13,2,1,2
27,20,18,15,1,1,1
22,19,13,15,1,1,1
9,15,9,13,3,1,2
15,16,17,16,1,1,2
18,17,16,14,1,1,1
14,21,18,14,2,1,2
16,16,16,16,1,1,1
20,11,16,17,1,1,1
18,17,17,15,1,1,2
17,15,10,16,1,1,2
15,18,14,15,1,1,1
15,18,19,15,1,1,1
16,15,14,15,1,1,1
18,15,18,15,1,1,2
14,15,15,13,1,1,1
7,17,14,13,1,1,1
17,17,12,9,3,1,2
18,18,18,11,2,1,2
21,24,18,13,1,1,1
19,18,21,13,1,1,2
13,15,14,9,3,1,2
15,16,14,17,1,1,1
18,20,16,16,1,1,2
13,16,12,15,1,1,1
18,14,16,7,1,1,1
11,15,5,16,1,1,1
17,27,15,15,1,3,2
17,16,15,13,1,1,2
15,17,14,16,1,1,2
21,13,15,15,1,1,2
20,22,16,15,1,1,2
14,17,16,15,1,1,1
30,21,18,15,5,1,1
21,17,13,17,1,1,1
13,15,14,15,1,1,2
22,20,21,13,1,1,1
20,19,13,15,1,1,2
16,15,16,16,1,1,1
25,18,21,13,4,1,2
15,17,13,13,1,1,2
15,20,15,15,1,1,1
15,20,15,11,2,1,1
18,18,18,17,1,1,2
14,15,12,16,1,1,2
12,13,12,15,1,1,1
12,15,13,13,1,1,1
35,25,13,15,2,1,2
11,23,11,15,2,1,2
16,22,17,15,1,1,2
21,19,16,13,1,1,1
17,18,16,14,1,1,1
13,16,14,13,6,1,1
21,25,18,17,1,1,2
12,14,12,12,1,1,2
14,22,21,14,1,1,1
9,16,18,16,1,1,2
16,21,15,13,1,1,2
16,12,13,13,1,1,2
14,15,13,15,1,2,1
16,20,16,15,1,1,1
19,18,14,15,1,1,2
13,12,14,12,3,1,2
14,19,16,13,1,1,1
17,20,15,13,1,1,2
15,18,17,15,2,1,2
13,14,14,13,3,2,2
17,18,19,15,1,2,1
14,16,14,10,2,1,2
15,15,13,13,1,1,2
27,20,18,15,1,1,2
16,20,16,16,1,1,2
16,18,18,12,1,1,2
12,14,12,15,1,2,1
25,20,18,17,1,2,1
10,13,15,16,1,1,2
14,18,16,9,3,1,2
13,15,13,15,1,1,1
15,18,13,15,1,1,1
13,13,12,15,1,1,1
12,12,12,16,1,1,1
13,15,13,9,1,1,1
16,16,12,16,2,1,1
17,18,15,9,3,1,2
13,16,21,11,1,1,2
18,21,17,15,1,1,1
11,17,11,8,3,1,2
14,15,8,15,1,1,1
14,21,14,15,1,2,1
18,18,14,16,1,1,2
11,18,13,15,1,1,1
14,16,8,15,1,1,1
14,18,13,15,1,1,1
15,16,15,15,1,1,1
15,18,16,15,1,1,2
15,16,15,16,1,1,1
14,16,16,14,1,1,2
17,16,12,15,1,1,1
17,18,19,11,1,1,1
16,16,15,13,1,1,1
17,22,16,15,1,1,1
17,19,16,12,1,1,1
32,17,18,17,1,1,2
14,13,7,16,1,1,1
17,17,16,17,1,1,1
14,14,13,15,1,1,2
16,21,17,15,1,1,1
15,17,15,9,1,1,2
13,15,14,13,1,1,1
15,13,17,16,1,1,1
16,17,16,16,1,1,1
14,16,12,15,1,1,1
16,16,13,14,1,1,2
15,15,13,17,1,1,1
19,17,17,13,1,1,2
11,13,12,17,1,1,1
16,18,12,12,2,1,2
16,16,14,16,1,1,2
20,18,18,14,1,2,1
13,10,10,15,2,1,2
9,23,14,14,1,1,1
13,16,16,14,1,1,1
16,17,17,12,1,1,1
12,16,15,13,1,1,1
11,13,12,15,3,1,2
17,18,18,10,1,1,2
14,14,13,4,99,1,2
